35x35x1
13:0:1 1:0:1 25:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 13:0:1 1:0:1 13:0:1 13:0:1 1:0:1 13:0:1 1:0:1 1:0:1 13:0:1 13:0:1 13:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 13:0:1 1:0:1 13:0:1 1:0:1 1:0:1 1:0:1 1:0:1 13:0:1 1:0:1
1:0:1 14:0:1 37:0:0 38:0:0 38:0:0 16:0:1 1:0:1 1:0:1 14:0:1 38:0:0 38:0:0 39:0:0 16:0:1 13:0:1 14:0:1 133:0:0 49:0:0 49:0:0 49:0:0 16:0:1 25:0:1 13:0:1 14:0:1 64:0:1 73:0:1 74:0:0 49:0:0 16:0:1 14:0:1 82:0:0 49:0:0 49:0:0 84:0:0 16:0:1 1:0:1
1:0:1 14:0:1 37:0:0 38:0:0 38:0:0 16:0:1 1:0:1 13:0:1 14:0:1 38:0:0 38:0:0 39:0:0 16:0:1 1:0:1 14:0:1 134:0:0 83:0:1 49:0:0 83:0:1 16:0:1 1:0:1 1:0:1 26:0:1 27:0:1 27:0:1 6:0:1 43:0:0 16:0:1 14:0:1 94:0:0 71:0:0 71:0:0 96:0:0 16:0:1 1:0:1
1:0:1 14:0:1 37:0:0 38:0:0 38:0:0 16:0:1 1:0:1 1:0:1 14:0:1 38:0:0 38:0:0 39:0:0 16:0:1 25:0:1 14:0:1 134:0:0 49:0:0 83:0:1 49:0:0 17:0:1 7:0:1 3:0:1 3:0:1 3:0:1 7:0:1 18:0:1 40:0:0 17:0:1 18:0:1 134:0:0 49:0:0 50:0:0 49:0:0 16:0:1 1:0:1
1:0:1 14:0:1 37:0:0 38:0:0 38:0:0 16:0:1 25:0:1 1:0:1 14:0:1 38:0:0 38:0:0 39:0:0 16:0:1 1:0:1 14:0:1 133:0:0 49:0:0 50:0:0 49:0:0 58:0:1 19:0:1 41:0:1 30:0:1 41:0:1 19:0:1 30:0:1 40:0:0 20:0:1 60:0:1 78:0:1 78:0:1 79:0:1 49:0:0 16:0:1 1:0:1
25:0:1 14:0:1 37:0:0 38:0:0 38:0:0 17:0:1 3:0:1 3:0:1 18:0:1 38:0:0 38:0:0 39:0:0 16:0:1 1:0:1 14:0:1 133:0:0 43:0:0 49:0:0 49:0:0 83:0:1 31:0:0 51:0:0 83:0:1 51:0:0 31:0:0 49:0:0 49:0:0 32:0:1 51:0:0 49:0:0 49:0:0 49:0:0 49:0:0 16:0:1 25:0:1
3:0:1 18:0:1 37:0:0 38:0:0 38:0:0 58:0:1 30:0:1 30:0:1 60:0:1 38:0:0 38:0:0 39:0:0 16:0:1 1:0:1 14:0:1 133:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 43:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 50:0:0 16:0:1 1:0:1
42:0:0 51:0:0 43:0:0 49:0:0 49:0:0 49:0:0 49:0:0 50:0:0 49:0:0 49:0:0 49:0:0 83:0:1 16:0:1 13:0:1 14:0:1 70:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 16:0:1 1:0:1
27:0:1 6:0:1 64:0:1 49:0:0 50:0:0 49:0:0 43:0:0 57:0:1 80:0:0 71:0:0 71:0:0 71:0:0 16:0:1 1:0:1 14:0:1 96:0:0 49:0:0 49:0:0 83:0:1 49:0:0 49:0:0 64:0:1 83:0:1 50:0:0 43:0:0 49:0:0 64:0:1 43:0:0 49:0:0 49:0:0 57:0:1 83:0:1 49:0:0 16:0:1 1:0:1
1:0:1 26:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 28:0:1 1:0:1 26:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 28:0:1 1:0:1
1:0:1 1:0:1 1:0:1 1:0:1 13:0:1 13:0:1 1:0:1 1:0:1 1:0:1 13:0:1 25:0:1 13:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 13:0:1 1:0:1 13:0:1 13:0:1 1:0:1 1:0:1 13:0:1 1:0:1 25:0:1 1:0:1 1:0:1 13:0:1 1:0:1 1:0:1
