40x50x1
2:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 4:0 
14:0 43:0 50:0 50:0 50:0 43:0 50:0 43:0 50:0 50:0 43:0 49:0 49:0 50:0 50:0 50:0 43:0 43:0 50:0 49:0 49:0 49:0 50:0 50:0 49:0 49:0 49:0 49:0 49:0 50:0 43:0 49:0 50:0 50:0 43:0 49:0 49:0 50:0 49:0 16:0 
14:0 43:0 49:0 43:0 49:0 49:0 43:0 43:0 50:0 50:0 50:0 49:0 43:0 43:0 50:0 49:0 49:0 43:0 50:0 50:0 43:0 49:0 49:0 50:0 49:0 43:0 49:0 49:0 43:0 43:0 50:0 43:0 43:0 50:0 43:0 43:0 49:0 50:0 50:0 16:0 
14:0 43:0 43:0 49:0 49:0 43:0 43:0 43:0 49:0 50:0 43:0 43:0 43:0 50:0 43:0 49:0 49:0 49:0 43:0 50:0 49:0 43:0 50:0 43:0 50:0 49:0 50:0 50:0 43:0 43:0 49:0 43:0 50:0 49:0 43:0 43:0 49:0 49:0 50:0 16:0 
14:0 49:0 43:0 49:0 49:0 43:0 43:0 43:0 49:0 49:0 49:0 49:0 43:0 49:0 49:0 49:0 49:0 43:0 49:0 43:0 49:0 49:0 50:0 50:0 43:0 43:0 43:0 49:0 43:0 43:0 50:0 50:0 49:0 49:0 49:0 50:0 43:0 49:0 50:0 16:0 
14:0 49:0 50:0 43:0 50:0 49:0 49:0 43:0 50:0 50:0 50:0 43:0 50:0 49:0 50:0 43:0 43:0 49:0 49:0 43:0 50:0 49:0 43:0 43:0 43:0 43:0 49:0 49:0 50:0 50:0 50:0 50:0 50:0 43:0 49:0 49:0 50:0 50:0 43:0 16:0 
14:0 49:0 50:0 43:0 49:0 43:0 49:0 50:0 43:0 43:0 43:0 49:0 50:0 50:0 49:0 49:0 50:0 49:0 49:0 49:0 50:0 43:0 50:0 43:0 49:0 49:0 43:0 50:0 50:0 49:0 49:0 50:0 50:0 50:0 50:0 43:0 50:0 50:0 50:0 16:0 
14:0 50:0 50:0 49:0 50:0 49:0 43:0 43:0 50:0 43:0 49:0 43:0 43:0 50:0 43:0 50:0 50:0 49:0 50:0 43:0 43:0 49:0 43:0 43:0 43:0 50:0 50:0 50:0 50:0 49:0 49:0 43:0 50:0 43:0 50:0 49:0 49:0 49:0 49:0 16:0 
14:0 50:0 49:0 49:0 50:0 43:0 49:0 49:0 49:0 43:0 50:0 49:0 50:0 49:0 49:0 43:0 50:0 43:0 50:0 49:0 43:0 49:0 49:0 43:0 49:0 43:0 43:0 50:0 49:0 43:0 49:0 50:0 50:0 49:0 43:0 49:0 50:0 43:0 50:0 16:0 
14:0 43:0 43:0 49:0 43:0 50:0 50:0 49:0 49:0 43:0 49:0 43:0 49:0 43:0 43:0 49:0 43:0 43:0 49:0 43:0 43:0 49:0 43:0 43:0 43:0 50:0 49:0 50:0 43:0 50:0 43:0 49:0 50:0 43:0 49:0 50:0 49:0 43:0 43:0 16:0 
14:0 50:0 43:0 49:0 49:0 43:0 49:0 49:0 49:0 50:0 49:0 49:0 50:0 43:0 50:0 49:0 43:0 49:0 43:0 49:0 43:0 50:0 43:0 50:0 43:0 50:0 49:0 49:0 49:0 50:0 49:0 43:0 43:0 49:0 49:0 49:0 49:0 43:0 50:0 16:0 
14:0 50:0 49:0 43:0 43:0 50:0 43:0 49:0 50:0 49:0 43:0 50:0 50:0 43:0 43:0 49:0 49:0 50:0 43:0 50:0 49:0 49:0 43:0 49:0 49:0 49:0 50:0 50:0 49:0 43:0 49:0 43:0 50:0 50:0 43:0 49:0 49:0 43:0 50:0 16:0 
14:0 50:0 43:0 50:0 49:0 49:0 49:0 49:0 43:0 49:0 49:0 50:0 43:0 49:0 50:0 43:0 50:0 50:0 43:0 43:0 49:0 49:0 43:0 50:0 49:0 49:0 49:0 49:0 50:0 49:0 49:0 49:0 43:0 49:0 43:0 49:0 43:0 43:0 49:0 16:0 
14:0 50:0 50:0 50:0 49:0 49:0 50:0 43:0 49:0 43:0 50:0 49:0 43:0 49:0 50:0 43:0 50:0 50:0 43:0 43:0 43:0 50:0 49:0 49:0 50:0 43:0 50:0 49:0 49:0 49:0 49:0 43:0 43:0 50:0 49:0 43:0 43:0 43:0 43:0 16:0 
14:0 49:0 43:0 50:0 49:0 50:0 50:0 50:0 49:0 49:0 50:0 49:0 49:0 50:0 50:0 50:0 43:0 49:0 50:0 49:0 50:0 49:0 50:0 50:0 43:0 50:0 49:0 49:0 43:0 49:0 49:0 50:0 50:0 49:0 49:0 50:0 50:0 43:0 50:0 16:0 
14:0 49:0 49:0 49:0 50:0 50:0 50:0 49:0 49:0 49:0 50:0 43:0 49:0 43:0 49:0 43:0 43:0 43:0 50:0 49:0 49:0 49:0 50:0 50:0 43:0 43:0 50:0 49:0 43:0 49:0 43:0 49:0 50:0 49:0 49:0 49:0 49:0 43:0 50:0 16:0 
14:0 49:0 49:0 43:0 49:0 49:0 43:0 49:0 50:0 43:0 49:0 49:0 49:0 50:0 50:0 50:0 43:0 49:0 43:0 49:0 50:0 50:0 50:0 43:0 50:0 49:0 43:0 43:0 49:0 49:0 43:0 50:0 50:0 43:0 50:0 43:0 43:0 50:0 49:0 16:0 
14:0 50:0 50:0 49:0 50:0 43:0 43:0 43:0 50:0 50:0 50:0 49:0 43:0 43:0 50:0 50:0 50:0 49:0 43:0 43:0 49:0 43:0 43:0 43:0 50:0 50:0 50:0 49:0 50:0 43:0 43:0 43:0 49:0 49:0 43:0 49:0 49:0 49:0 49:0 16:0 
14:0 43:0 50:0 50:0 43:0 43:0 43:0 43:0 50:0 49:0 43:0 49:0 43:0 50:0 43:0 49:0 49:0 50:0 50:0 43:0 50:0 43:0 43:0 50:0 43:0 43:0 43:0 49:0 49:0 49:0 49:0 50:0 43:0 43:0 49:0 49:0 50:0 43:0 43:0 16:0 
14:0 43:0 50:0 43:0 43:0 50:0 49:0 43:0 50:0 43:0 49:0 49:0 43:0 43:0 49:0 50:0 50:0 49:0 50:0 50:0 49:0 43:0 43:0 50:0 50:0 43:0 49:0 50:0 49:0 43:0 43:0 43:0 43:0 49:0 43:0 43:0 50:0 50:0 43:0 16:0 
14:0 50:0 49:0 50:0 50:0 49:0 50:0 43:0 50:0 49:0 49:0 43:0 43:0 50:0 50:0 43:0 43:0 49:0 50:0 50:0 43:0 50:0 49:0 43:0 50:0 49:0 43:0 50:0 49:0 50:0 43:0 49:0 43:0 49:0 50:0 50:0 49:0 49:0 43:0 16:0 
14:0 43:0 50:0 43:0 43:0 49:0 43:0 50:0 43:0 43:0 43:0 50:0 49:0 43:0 43:0 50:0 50:0 50:0 43:0 50:0 49:0 43:0 49:0 49:0 49:0 49:0 43:0 43:0 43:0 49:0 49:0 50:0 49:0 50:0 43:0 49:0 43:0 50:0 50:0 16:0 
14:0 43:0 50:0 50:0 49:0 43:0 49:0 50:0 50:0 43:0 43:0 50:0 50:0 43:0 50:0 43:0 50:0 43:0 49:0 49:0 43:0 43:0 49:0 43:0 50:0 49:0 50:0 49:0 49:0 49:0 43:0 49:0 49:0 49:0 50:0 50:0 49:0 49:0 49:0 16:0 
14:0 43:0 49:0 43:0 50:0 43:0 49:0 43:0 43:0 50:0 49:0 43:0 43:0 43:0 43:0 43:0 43:0 49:0 50:0 50:0 50:0 43:0 50:0 49:0 49:0 49:0 43:0 49:0 43:0 43:0 49:0 43:0 43:0 49:0 50:0 50:0 49:0 43:0 50:0 16:0 
14:0 49:0 50:0 50:0 43:0 49:0 50:0 43:0 50:0 49:0 49:0 43:0 50:0 43:0 43:0 50:0 49:0 50:0 43:0 43:0 50:0 50:0 49:0 50:0 49:0 43:0 43:0 43:0 50:0 50:0 43:0 50:0 50:0 49:0 43:0 43:0 50:0 43:0 43:0 16:0 
14:0 49:0 49:0 43:0 49:0 49:0 43:0 43:0 50:0 49:0 49:0 50:0 43:0 50:0 43:0 43:0 49:0 43:0 49:0 50:0 43:0 50:0 43:0 50:0 43:0 49:0 49:0 49:0 49:0 43:0 43:0 43:0 43:0 49:0 43:0 43:0 49:0 43:0 43:0 16:0 
14:0 43:0 43:0 50:0 49:0 43:0 43:0 43:0 43:0 50:0 43:0 43:0 43:0 43:0 43:0 50:0 50:0 43:0 43:0 50:0 49:0 49:0 50:0 49:0 49:0 49:0 50:0 43:0 49:0 50:0 49:0 49:0 50:0 43:0 50:0 50:0 43:0 50:0 43:0 16:0 
14:0 43:0 49:0 50:0 43:0 43:0 50:0 43:0 50:0 49:0 43:0 50:0 43:0 43:0 43:0 50:0 49:0 43:0 43:0 50:0 49:0 50:0 43:0 49:0 50:0 50:0 43:0 49:0 49:0 49:0 43:0 43:0 43:0 49:0 50:0 43:0 43:0 50:0 43:0 16:0 
14:0 50:0 50:0 50:0 49:0 50:0 50:0 43:0 49:0 50:0 43:0 50:0 49:0 43:0 43:0 50:0 43:0 50:0 43:0 49:0 50:0 43:0 49:0 49:0 43:0 49:0 49:0 43:0 43:0 49:0 49:0 43:0 43:0 43:0 50:0 43:0 49:0 49:0 43:0 16:0 
14:0 43:0 43:0 50:0 49:0 50:0 43:0 49:0 43:0 50:0 50:0 50:0 43:0 43:0 43:0 49:0 49:0 43:0 50:0 43:0 50:0 43:0 49:0 50:0 50:0 43:0 49:0 49:0 43:0 43:0 50:0 50:0 43:0 49:0 49:0 49:0 50:0 43:0 49:0 16:0 
14:0 50:0 43:0 50:0 49:0 43:0 50:0 49:0 49:0 43:0 43:0 50:0 50:0 50:0 49:0 50:0 49:0 49:0 50:0 50:0 49:0 49:0 50:0 50:0 43:0 49:0 43:0 49:0 49:0 43:0 43:0 49:0 49:0 43:0 43:0 50:0 43:0 50:0 50:0 16:0 
14:0 43:0 50:0 43:0 50:0 49:0 49:0 49:0 43:0 49:0 49:0 50:0 43:0 50:0 50:0 49:0 49:0 43:0 49:0 43:0 43:0 50:0 43:0 43:0 43:0 50:0 49:0 50:0 43:0 43:0 49:0 43:0 43:0 43:0 50:0 49:0 49:0 50:0 50:0 16:0 
14:0 49:0 43:0 50:0 50:0 49:0 49:0 50:0 49:0 49:0 49:0 43:0 50:0 49:0 50:0 49:0 49:0 50:0 50:0 49:0 43:0 43:0 43:0 50:0 50:0 43:0 50:0 49:0 50:0 43:0 43:0 43:0 43:0 50:0 43:0 50:0 50:0 43:0 49:0 16:0 
14:0 49:0 49:0 50:0 49:0 50:0 50:0 50:0 43:0 43:0 43:0 50:0 49:0 49:0 50:0 49:0 43:0 49:0 49:0 49:0 49:0 50:0 43:0 43:0 50:0 43:0 50:0 49:0 50:0 49:0 49:0 50:0 50:0 49:0 43:0 43:0 50:0 50:0 49:0 16:0 
14:0 49:0 43:0 50:0 43:0 49:0 43:0 50:0 49:0 50:0 50:0 50:0 50:0 50:0 49:0 50:0 49:0 43:0 50:0 43:0 43:0 49:0 49:0 43:0 50:0 43:0 49:0 43:0 50:0 43:0 50:0 43:0 50:0 50:0 49:0 49:0 50:0 43:0 49:0 16:0 
14:0 49:0 50:0 50:0 50:0 49:0 50:0 49:0 50:0 43:0 43:0 49:0 43:0 43:0 50:0 43:0 49:0 49:0 43:0 49:0 43:0 50:0 49:0 43:0 50:0 50:0 49:0 43:0 43:0 49:0 49:0 49:0 49:0 50:0 43:0 43:0 43:0 50:0 43:0 16:0 
14:0 50:0 49:0 43:0 43:0 49:0 43:0 49:0 49:0 49:0 50:0 50:0 50:0 50:0 43:0 50:0 50:0 49:0 49:0 43:0 49:0 50:0 43:0 50:0 43:0 49:0 43:0 43:0 43:0 43:0 49:0 43:0 50:0 50:0 50:0 50:0 43:0 50:0 43:0 16:0 
14:0 43:0 50:0 50:0 49:0 49:0 43:0 50:0 43:0 50:0 50:0 50:0 50:0 43:0 49:0 50:0 49:0 43:0 50:0 50:0 43:0 49:0 49:0 49:0 49:0 43:0 50:0 49:0 50:0 50:0 50:0 50:0 43:0 50:0 43:0 49:0 43:0 43:0 50:0 16:0 
14:0 43:0 50:0 49:0 49:0 49:0 49:0 50:0 50:0 43:0 43:0 49:0 50:0 43:0 43:0 43:0 43:0 43:0 43:0 43:0 43:0 50:0 49:0 43:0 43:0 43:0 49:0 43:0 49:0 43:0 43:0 50:0 50:0 50:0 43:0 49:0 50:0 50:0 43:0 16:0 
26:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 27:0 28:0 

